"left_out_study","estimate","ci_lb","ci_ub"
"becker_2004",-0.496033411750216,-0.71395023962892,-0.278116583871511
"corbett_1995",-0.446681715724146,-0.605474848380768,-0.287888583067523
"gacsalyi_2013",-0.48817977396434,-0.679815102465618,-0.296544445463061
"gururajan_2011",-0.470883974738322,-0.66768376343307,-0.274084186043574
"gururajan_2012",-0.483042715495165,-0.675002570985294,-0.291082860005037
"hereta_2019",-0.502670519686167,-0.705911613644046,-0.299429425728288
"kaminska_2015",-0.518083468428246,-0.707254221336541,-0.328912715519951
"maehara_2011",-0.506809220180249,-0.700180019994282,-0.313438420366216
"morimoto_2002",-0.532638847997264,-0.6761006103038,-0.389177085690727
"neill_2016",-0.494979306593375,-0.69186002785972,-0.29809858532703
"pouzet_2002b",-0.459721688928501,-0.637512544184846,-0.281930833672156
"rung_2005b",-0.50216784554708,-0.703678820740076,-0.300656870354083
"sams-dodd_1996",-0.516451410437043,-0.715847870654174,-0.317054950219912
"sams-dodd_1997",-0.492473455336707,-0.711248574195754,-0.27369833647766
"sams-dodd_1998",-0.496229363833403,-0.711621268763486,-0.280837458903321
"sams-dodd_1998d",-0.49131867406784,-0.689945304159655,-0.292692043976024
"satow_2009",-0.512454447778262,-0.70968289592145,-0.315225999635074
"tarland_2017",-0.464850454762865,-0.646967991473502,-0.282732918052229
"vijeepallam_2016",-0.509115584734051,-0.703991132278129,-0.314240037189972
