"study","effect_id","nmda_antagonist","hedges_g","ci_lb","ci_ub"
"Aoyama 2014",2,"Phencyclidine",0.485,-0.295,1.265
"Aoyama 2014",1,"Phencyclidine",1.742,0.84,2.645
"Aoyama 2014",3,"Phencyclidine",2.075,0.929,3.221
"Dedic 2019",6,"Phencyclidine",2.325,0.531,4.118
"Gururajan 2011",10,"MK-801",-0.161,-1.039,0.717
"Gururajan 2011",11,"MK-801",-0.169,-1.047,0.709
"Gururajan 2011",12,"MK-801",-1.841,-2.887,-0.796
"Gururajan 2011",16,"MK-801",1.546,0.547,2.545
"Gururajan 2011",17,"MK-801",0.457,-0.431,1.345
"Gururajan 2011",18,"MK-801",0.069,-0.808,0.946
"Li 2016",24,"MK-801",2.045,0.515,3.574
"Li 2016",22,"MK-801",2.323,0.719,3.928
"Li 2016",23,"MK-801",2.329,0.723,3.935
"Onaolapo 2017",28,"Ketamine",1.937,0.434,3.439
"Onaolapo 2017",27,"Ketamine",0.219,-1.025,1.462
"Onaolapo 2017",30,"Ketamine",14.342,7.935,20.749
"Onaolapo 2017",29,"Ketamine",0.513,-0.747,1.773
"Sallinen 2013",32,"Phencyclidine",0.809,-0.103,1.721
"Sallinen 2013",31,"Phencyclidine",-0.87,-1.787,0.047
"Sams-Dodd 1997",36,"Phencyclidine",0.777,-0.053,1.607
"Sams-Dodd 1997",42,"Phencyclidine",-0.385,-1.192,0.423
"Sams-Dodd 1997",37,"Phencyclidine",0.383,-0.425,1.19
"Sams-Dodd 1997",43,"Phencyclidine",0.158,-0.644,0.959
"Sams-Dodd 1997",61,"Phencyclidine",0.437,-0.373,1.247
"Sams-Dodd 1997",69,"Phencyclidine",0,-0.8,0.8
"Sams-Dodd 1997",49,"Phencyclidine",-0.075,-0.876,0.725
"Sams-Dodd 1997",54,"Phencyclidine",-0.067,-0.867,0.734
"Sams-Dodd 1997",38,"Phencyclidine",1.28,0.401,2.158
"Sams-Dodd 1997",44,"Phencyclidine",-0.252,-1.056,0.551
"Sams-Dodd 1997",45,"Phencyclidine",-0.079,-0.879,0.722
"Sams-Dodd 1997",62,"Phencyclidine",0.035,-0.765,0.835
"Sams-Dodd 1997",70,"Phencyclidine",0.855,0.019,1.691
"Sams-Dodd 1997",50,"Phencyclidine",0.088,-0.713,0.888
"Sams-Dodd 1997",55,"Phencyclidine",-0.278,-1.082,0.526
"Sams-Dodd 1997",56,"Phencyclidine",-0.487,-1.299,0.325
"Sams-Dodd 1997",63,"Phencyclidine",-0.025,-0.825,0.775
"Sams-Dodd 1997",71,"Phencyclidine",0.366,-0.441,1.173
"Sams-Dodd 1997",64,"Phencyclidine",-0.341,-1.147,0.465
"Sams-Dodd 1997",72,"Phencyclidine",0.877,-0.144,1.898
"Sams-Dodd 1998",99,"Phencyclidine",1.514,0.607,2.422
"Sams-Dodd 1998",77,"Phencyclidine",-0.88,-1.718,-0.042
"Sams-Dodd 1998",85,"Phencyclidine",1.112,0.252,1.972
"Sams-Dodd 1998",92,"Phencyclidine",0.08,-0.721,0.88
"Sams-Dodd 1998",100,"Phencyclidine",1.097,0.239,1.956
"Sams-Dodd 1998",78,"Phencyclidine",-0.481,-1.292,0.331
"Sams-Dodd 1998",86,"Phencyclidine",1.474,0.571,2.376
"Sams-Dodd 1998",93,"Phencyclidine",-0.446,-1.256,0.364
"Sams-Dodd 1998",101,"Phencyclidine",0.754,-0.074,1.582
"Sams-Dodd 1998",79,"Phencyclidine",-0.887,-1.725,-0.048
"Sams-Dodd 1998",87,"Phencyclidine",-0.092,-0.893,0.708
"Sams-Dodd 1998",80,"Phencyclidine",-0.2,-1.002,0.602
"Sams-Dodd 1998",88,"Phencyclidine",0.217,-0.585,1.02
"Sams-Dodd 1998",102,"Phencyclidine",-0.844,-1.679,-0.009
"Sams-Dodd 1998",94,"Phencyclidine",-0.341,-1.146,0.465
"Savolainen 2018",106,"Phencyclidine",-0.818,-1.759,0.122
"Savolainen 2018",107,"Phencyclidine",-0.492,-1.412,0.427
"Savolainen 2018",103,"Phencyclidine",-0.392,-1.325,0.541
"Savolainen 2018",104,"Phencyclidine",-0.148,-1.056,0.761
"Savolainen 2018",105,"Phencyclidine",-0.909,-1.857,0.039
"Takase 2022",108,"MK-801",-0.95,-1.875,-0.026
"Takase 2022",109,"MK-801",1.67,0.652,2.688
"Bialon 2021",113,"MK-801",-1.098,-2.149,-0.047
"Cascio 2014",114,"Phencyclidine",3.185,1.481,4.89
"George 2020",120,"Ketamine",1.765,0.732,2.798
"Holuj 2015",126,"Ketamine",0.659,-0.614,1.932
"Holuj 2015",122,"Ketamine",-0.126,-1.366,1.115
"Holuj 2015",128,"Ketamine",-0.103,-1.344,1.137
"Holuj 2015",123,"Ketamine",1.836,0.358,3.314
"Holuj 2015",127,"Ketamine",1.84,0.361,3.319
"Holuj 2015",124,"Ketamine",0.023,-1.216,1.263
"Holuj 2015",129,"Ketamine",0.14,-1.101,1.381
"Holuj 2015",125,"Ketamine",-0.126,-1.366,1.115
"Huang 2014",130,"MK-801",0.232,-0.903,1.367
"Kumbol 2018",133,"Ketamine",-0.865,-2.048,0.319
"Kumbol 2018",134,"Ketamine",2.006,0.619,3.393
"Pouzet 2002 b",135,"Phencyclidine",0.864,-0.319,2.048
"Pouzet 2002 b",138,"Phencyclidine",2.682,1.122,4.241
"Rajagopal 2018",141,"Phencyclidine",-0.083,-0.96,0.794
"Rajagopal 2018",142,"Phencyclidine",2.961,1.692,4.23
"Rajagopal 2022",153,"Phencyclidine",0.186,-0.693,1.064
"Rajagopal 2022",154,"Phencyclidine",7.877,5.284,10.471
"Rajagopal 2022",144,"Phencyclidine",0.409,-0.477,1.295
"Rajagopal 2022",149,"Phencyclidine",0.803,-0.109,1.714
"Rajagopal 2022",146,"Phencyclidine",7.884,5.288,10.48
"Rajagopal 2022",150,"Phencyclidine",8.555,5.763,11.347
"Slawinska 2013",159,"MK-801",2.517,0.662,4.373
"Sokoloff 2013",160,"MK-801",0.879,-0.572,2.33
"Unal 2020 c",165,"MK-801",0.291,-0.694,1.276
"Gomes 2015",172,"MK-801",1.898,0.637,3.16
"Kaminska 2015",183,"MK-801",-1.712,-3.035,-0.389
"Kaminska 2015",187,"MK-801",0.059,-1.073,1.191
"Kaminska 2015",184,"MK-801",7.113,4.05,10.175
"Maehara 2011",190,"MK-801",1.349,0.209,2.489
"Maehara 2011",191,"MK-801",1.791,0.575,3.006
"Onaolapo 2017 b",193,"Ketamine",2.366,0.75,3.983
"Onaolapo 2017 b",192,"Ketamine",1.438,0.047,2.828
"Onaolapo 2017 b",195,"Ketamine",14.653,8.113,21.194
"Onaolapo 2017 b",194,"Ketamine",1.136,-0.2,2.472
"Pedersen 2014",196,"Phencyclidine",-0.639,-1.8,0.521
"Snigdha 2008",198,"Phencyclidine",3.11,1.267,4.952
"Unal 2017",200,"MK-801",0.712,-0.717,2.141
"Unal 2018",203,"MK-801",1.988,0.473,3.503
"Wieronska 2015",206,"MK-801",0.393,-1.007,1.792
"Wieronska 2015",209,"MK-801",0.664,-0.759,2.088
"Wieronska 2015",207,"MK-801",1.627,0.028,3.226
"Cieslik 2018 b",210,"MK-801",-0.109,-1.496,1.278
"Gacsalyi 2013",213,"Phencyclidine",-0.218,-1.608,1.172
"Kayir 2022",214,"MK-801",0.361,-1.036,1.759
