"left_out_study","estimate","ci_lb","ci_ub"
"aoyama_2014",0.591121488722841,0.365907994019195,0.816334983426487
"becker_2004",0.621550427593959,0.399727511543666,0.843373343644252
"bialon_2021",0.626349300749756,0.404439564872946,0.848259036626567
"cascio_2014",0.576011503142479,0.357907681089806,0.794115325195152
"chaki_2015",0.595155871853953,0.369755164756034,0.820556578951872
"cieslik_2018b",0.616012473826599,0.389956962591628,0.842067985061571
"corbett_1995",0.60006581469303,0.371170322276136,0.828961307109925
"dedic_2019",0.589244947001222,0.366922819814777,0.811567074187666
"gacsalyi_2013",0.617021457529268,0.391151981288486,0.84289093377005
"gao_2016",0.614769445131825,0.387464823094331,0.842074067169319
"george_2020",0.588350838270453,0.365188117038652,0.811513559502254
"gomes_2015",0.588711403948765,0.365815119229364,0.811607688668166
"gururajan_2011",0.620928320852186,0.39279635390426,0.849060287800111
"gururajan_2012",0.600220428223729,0.374417609506965,0.826023246940493
"harich_2007",0.626930880637415,0.404824489341452,0.849037271933378
"hereta_2019",0.618973452162848,0.391619522966522,0.846327381359175
"hidayat_2021",0.593910109544512,0.371922526215438,0.815897692873586
"holuj_2015",0.613519871612337,0.384295438922972,0.842744304301701
"huang_2014",0.613514342194826,0.386663033756083,0.84036565063357
"kaminska_2015",0.629290613667242,0.407166929584541,0.851414297749943
"kayir_2022",0.611109230711154,0.38468182009716,0.837536641325147
"kim_2014",0.575004600390422,0.356581724985206,0.793427475795638
"kumbol_2018",0.614999741402016,0.388191030336538,0.841808452467494
"li_2016",0.583343673256251,0.362152458284565,0.804534888227938
"linck_2008",0.583112180781431,0.362166231979641,0.804058129583222
"maehara_2011",0.592676486323649,0.368279849971185,0.817073122676112
"mintz_2005",0.626699942363004,0.404430713636492,0.848969171089517
"morimoto_2002",0.615507458308545,0.38750800917404,0.84350690744305
"nakatani-pawlak_2009",0.59147900658952,0.367236591503979,0.815721421675061
"nawwar_2022",0.575868954034012,0.358235945384395,0.793501962683629
"neill_2016",0.59388259336498,0.368923465588629,0.818841721141331
"nikiforuk_2013",0.58296791709617,0.362471876485954,0.803463957706385
"noda_2021",0.617693397707345,0.390606077308049,0.844780718106641
"onaolapo_2017",0.617471551688919,0.389482178307469,0.845460925070369
"onaolapo_2017b",0.603696106159638,0.376049753998614,0.831342458320662
"onaolapo_2017c",0.589882270745801,0.365881201020764,0.813883340470837
"pedersen_2014",0.622276110450837,0.397613099764541,0.846939121137133
"pouzet_2002b",0.597911774918959,0.372491340516546,0.823332209321371
"rajagopal_2018",0.611788412819519,0.38427562767888,0.839301197960159
"rajagopal_2022",0.629635293134302,0.412285629041815,0.846984957226789
"rung_2005b",0.619333156581519,0.392023404635231,0.846642908527807
"sallinen_2013",0.618308159166022,0.391354643276519,0.845261675055526
"sams-dodd_1996",0.615124061876872,0.385994401837696,0.844253721916048
"sams-dodd_1997",0.617299382845005,0.390237500453302,0.844361265236707
"sams-dodd_1998",0.622305010655778,0.39405493922186,0.850555082089696
"sams-dodd_1998d",0.610643978807324,0.382733968890149,0.838553988724499
"satow_2009",0.61930594301884,0.389208777208217,0.849403108829462
"savolainen_2018",0.624955791356385,0.403582860885241,0.84632872182753
"silva_2020",0.588371590394295,0.365431186494813,0.811311994293778
"slawinska_2013",0.587694751037666,0.365886099690445,0.809503402384886
"slot_2005",0.620098315775364,0.388137091251057,0.852059540299672
"snigdha_2007",0.620112864096238,0.394208444365818,0.846017283826659
"snigdha_2008",0.605147249383606,0.376868732135317,0.833425766631896
"sokoloff_2013",0.604999209560327,0.378981024684625,0.831017394436029
"takase_2022",0.616387007982537,0.389178705278791,0.843595310686283
"takeuchi_2019",0.616446370300232,0.388253720266888,0.844639020333576
"tarland_2017",0.609020774671693,0.381994816108615,0.836046733234772
"tekin_2022",0.622554344759886,0.397593312288935,0.847515377230838
"unal_2017",0.607016754032367,0.380778903024557,0.833254605040178
"unal_2018",0.5903884217575,0.367393658202718,0.813383185312281
"unal_2020c",0.613331786530914,0.386149155124095,0.840514417937733
"vijeepallam_2016",0.593926262394114,0.369374372866834,0.818478151921394
"wang_2007",0.613861642284198,0.385844744474751,0.841878540093644
"wang_2021",0.60112113105444,0.374572971821849,0.82766929028703
"wieronska_2015",0.605940838971873,0.37860259462655,0.833279083317196
"zimnisky_2013",0.580464390395246,0.359931511126418,0.800997269664074
