"left_out_study","estimate","ci_lb","ci_ub"
"araujo_2016",0.881491577039427,0.273856004782123,1.48912714929673
"araujo_2021",0.83983897907865,0.254693215174845,1.42498474298246
"ben-azu_2018",1.07187157536539,0.53001654335099,1.6137266073798
"ben-azu_2018b",0.767635870122478,0.2557572484889,1.27951449175606
"ben-azu_2018c",0.997541975499786,0.381416505398278,1.61366744560129
"deiana_2015",1.01408734052226,0.406251987870436,1.62192269317409
"gil-ad_2014",0.99480566940462,0.383713724636309,1.60589761417293
"jeong_2022",0.975028659910882,0.354376387903792,1.59568093191797
"ju_2020",0.974797925298416,0.354491686489467,1.59510416410737
"koo_2019",0.975221926467523,0.354616738731041,1.59582711420401
"monte_2013",0.928816764383736,0.303853139019167,1.5537803897483
"nikiforuk_2016",0.909917226650742,0.293095291908902,1.52673916139258
"oshodi_2021",0.871272244584788,0.266016870227032,1.47652761894254
"sanavi_2022",0.951956992548189,0.326946960634351,1.57696702446203
"seibt_2011",0.990731895559025,0.37223331094419,1.60923048017386
"tadmor_2018",0.896430029528844,0.281202250087484,1.5116578089702
"tran_2016",0.950409059676864,0.327386553703846,1.57343156564988
"tran_2016b",0.935243324517613,0.313610879813171,1.55687576922205
"tran_2018",0.847402223230811,0.263074936740187,1.43172950972144
"vasconcelos_2015",0.984800397961599,0.369558010835582,1.60004278508762
"xue_2017",0.976111719647642,0.356212180140236,1.59601125915505
