"left_out_study","estimate","ci_lb","ci_ub"
"becker_2004",0.397545143241095,0.0507878231125209,0.744302463369669
"corbett_1993",0.421698578164564,0.0804375816063225,0.762959574722805
"corbett_1995",0.393956328870086,0.0473113535954043,0.740601304144768
"dunn_1989",0.399237220914604,0.0544054772155829,0.744068964613626
"gacsalyi_2013",0.386392217134151,0.0436481769639528,0.729136257304349
"georgiadou_2013",0.463265109771548,0.14284978300962,0.783680436533476
"gururajan_2010",0.399739425112064,0.0527527214739801,0.746726128750148
"gururajan_2011",0.387382286746371,0.0418749224496739,0.732889651043067
"haller_2005",0.407999408447677,0.0641295025189904,0.751869314376364
"hereta_2019",0.422276032744512,0.0790740254548804,0.765478040034143
"kaminska_2015",0.410795113598659,0.0661930552567057,0.755397171940612
"koros_2007",0.3908981312887,0.0445826802577642,0.737213582319637
"kovanyi_2016",0.406254428391424,0.0615618969157637,0.750946959867084
"lafioniatis_2016",0.434730868554438,0.0986003566419267,0.77086138046695
"li_2018",0.38195155372588,0.0387908479172987,0.725112259534462
"maaswinkel_2013",0.386979994568219,0.0421139222257512,0.731846066910686
"maehara_2011",0.421261325259644,0.0787058896726212,0.763816760846667
"matsuoka_2005",0.363946351902474,0.0276366177807662,0.700256086024182
"matsuoka_2008",0.363840740975729,0.0275970075795912,0.700084474371868
"morimoto_2002",0.401757163627212,0.0554864029306655,0.748027924323759
"neill_2016",0.409578712908713,0.0656107369193802,0.753546688898046
"peters_2017",0.413912081789446,0.0707858077509164,0.757038355827975
"podhorna_2003",0.363473461365273,0.0279912671501604,0.698955655580386
"pouzet_2002",0.375329231579838,0.0351038241712498,0.715554638988426
"pouzet_2002b",0.381014148919174,0.0373124419296863,0.724715855908661
"rung_2005",0.403985054616644,0.0592639735142129,0.748706135719075
"rung_2005b",0.392608566616284,0.0463808668271952,0.738836266405374
"salunke_2013",0.406947699627494,0.062289707597351,0.751605691657637
"sams-dodd_1995",0.419421394959725,0.0768325334729862,0.762010256446465
"sams-dodd_1996",0.379356677351346,0.0317147037945097,0.726998650908183
"sams-dodd_1997",0.367885345256384,0.027955355883382,0.707815334629385
"sams-dodd_1998",0.349192072625143,0.0234606802416574,0.674923465008628
"sams-dodd_1998b",0.376097455311729,0.034782880922257,0.717412029701201
"sams-dodd_1998c",0.375684459219747,0.0330587212813207,0.718310197158173
"sams-dodd_1998d",0.375633392648292,0.0336770275518156,0.717589757744768
"sams-dodd_2004",0.407374353369479,0.0630353092957879,0.751713397443169
"satow_2009",0.427370359394072,0.0862688278661013,0.768471890922042
"savage_2011",0.468826592766811,0.151952766857828,0.785700418675794
"savolainen_2018",0.409444243108682,0.0648125243741886,0.754075961843176
"silvestre_1997",0.407689216014575,0.0640262497099824,0.751352182319168
"sukhotina_1998",0.406899859943666,0.0620655331843842,0.751734186702948
"tanaka_2003",0.357283836527406,0.0264871455299938,0.688080527524817
"tanaka_2019",0.392281855873154,0.0471631392417703,0.737400572504538
"tarland_2017",0.412857520123505,0.0695951357743691,0.756119904472641
"tarland_2018",0.413704874281883,0.0706088416039968,0.756800906959769
"trevlopoulou_2015",0.440125730919158,0.106045593575614,0.774205868262702
"vijeepallam_2016",0.383624166819848,0.0403657174514889,0.726882616188208
"wass_2009",0.405484225309093,0.0615727931587633,0.749395657459424
"yeap_2020",0.383455143965315,0.0395842713268489,0.727326016603782
"zou_2008",0.415129283524239,0.0718197385440192,0.758438828504459
"zoupa_2019",0.437236632210616,0.101802055719305,0.772671208701928
