"study","effect_id","nmda_antagonist","hedges_g","ci_lb","ci_ub"
"Aoyama 2014",1,"Phencyclidine",-3.51,-4.787,-2.233
"Aoyama 2014",2,"Phencyclidine",-2.227,-3.294,-1.161
"Aoyama 2014",3,"Phencyclidine",-3.614,-5.157,-2.07
"Audet 2009",7,"Phencyclidine",0.568,-0.139,1.275
"Becker 2003",9,"Ketamine",-0.048,-0.929,0.833
"Bove 2022",11,"Ketamine",-0.622,-1.481,0.237
"Cieslik 2018",13,"MK-801",-2.459,-4.295,-0.622
"Cieslik 2018",14,"MK-801",-1.839,-3.492,-0.186
"Comim 2015",21,"Ketamine",0.58,-0.489,1.649
"Comim 2015",22,"Ketamine",0.594,-0.476,1.665
"Comim 2015",23,"Ketamine",0.976,-0.132,2.084
"Dedic 2019",24,"Phencyclidine",-2.058,-3.771,-0.344
"Depoortere 2007",25,"Phencyclidine",-4.466,-6.425,-2.508
"Depoortere 2007",26,"Phencyclidine",-19.149,-26.319,-11.979
"Duan 2013",27,"Ketamine",-1.904,-3.126,-0.682
"Dyck 2011",31,"MK-801",-2.795,-4.538,-1.053
"Gururajan 2011",37,"MK-801",0.158,-0.679,0.995
"Gururajan 2011",41,"MK-801",0.157,-0.72,1.035
"Gururajan 2011",45,"MK-801",0.18,-0.698,1.059
"Gururajan 2011",38,"MK-801",-1.575,-2.531,-0.618
"Gururajan 2011",42,"MK-801",-1.546,-2.545,-0.547
"Gururajan 2011",46,"MK-801",-1.518,-2.512,-0.523
"Hida 2014",47,"Phencyclidine",-0.421,-1.412,0.57
"Huang 2022",49,"MK-801",-1.403,-2.497,-0.309
"Li 2016",51,"MK-801",-2.777,-4.515,-1.04
"Li 2018",52,"MK-801",-1.636,-2.63,-0.642
"Li 2021",54,"MK-801",1.529,0.12,2.939
"Maaswinkel 2013 b",58,"MK-801",-5.04,-6.504,-3.577
"Maple 2017",60,"Phencyclidine",-1.353,-2.439,-0.266
"Nikiforuk 2016",86,"Ketamine",-4.59,-6.746,-2.433
"Onaolapo 2017",99,"Ketamine",-8.088,-11.843,-4.333
"Onaolapo 2017",100,"Ketamine",-10.749,-15.62,-5.878
"Podhorna 2003",103,"Phencyclidine",-0.676,-1.51,0.157
"Podhorna 2003",104,"Phencyclidine",-3.036,-4.217,-1.854
"Podhorna 2003",105,"Phencyclidine",-5.168,-6.84,-3.496
"Sallinen 2013",118,"Phencyclidine",-1.987,-3.058,-0.916
"Sallinen 2013",117,"Phencyclidine",-1.932,-2.993,-0.87
"Salunke 2013",122,"MK-801",-0.746,-2.401,0.909
"Salunke 2013",126,"MK-801",-0.042,-1.642,1.559
"Salunke 2013",123,"MK-801",1.313,-0.451,3.078
"Salunke 2013",124,"MK-801",1.679,-0.182,3.541
"Sams-Dodd 1997",127,"Phencyclidine",-2.673,-3.774,-1.572
"Sams-Dodd 1997",129,"Phencyclidine",-4.649,-6.189,-3.11
"Sams-Dodd 1997",131,"Phencyclidine",-4.863,-6.454,-3.271
"Sams-Dodd 1997",133,"Phencyclidine",-3.651,-4.958,-2.345
"Sams-Dodd 1997",135,"Phencyclidine",-3.022,-4.193,-1.851
"Sams-Dodd 1997",137,"Phencyclidine",-5.129,-6.786,-3.472
"Sams-Dodd 1997",139,"Phencyclidine",-4.792,-6.366,-3.217
"Sams-Dodd 1997",141,"Phencyclidine",-9.121,-11.822,-6.419
"Sams-Dodd 1997",143,"Phencyclidine",-4.622,-6.155,-3.089
"Sams-Dodd 1997",145,"Phencyclidine",-4.127,-5.542,-2.712
"Sams-Dodd 1998",147,"Phencyclidine",-4.055,-5.454,-2.656
"Sams-Dodd 1998",149,"Phencyclidine",-7.032,-9.176,-4.888
"Sams-Dodd 1998",151,"Phencyclidine",-5.186,-6.857,-3.515
"Sams-Dodd 1998",153,"Phencyclidine",-4.795,-6.37,-3.22
