"left_out_study","estimate","ci_lb","ci_ub"
"aoyama_2014",-1.89453005630575,-2.1757069072569,-1.61335320535461
"audet_2009",-1.91427465324628,-2.1942023554647,-1.63434695102785
"baker_2008",-1.90457909999833,-2.18595364504679,-1.62320455494988
"becker_2003",-1.91134772989286,-2.19205825950502,-1.63063720028069
"becker_2004",-1.91416632327975,-2.19539446374854,-1.63293818281096
"berek_2009",-1.90834684546497,-2.18955003060029,-1.62714366032964
"bialon_2021",-1.8928036138179,-2.17346052399574,-1.61214670364005
"bogale_2016",-1.8754998924076,-2.15160774832797,-1.59939203648722
"bois_2008",-1.91299909393808,-2.19332237640776,-1.6326758114684
"borkar_2018",-1.90998602005217,-2.19156732943121,-1.62840471067313
"bove_2022",-1.90863334733297,-2.18983723012392,-1.62742946454202
"canever_2010",-1.91292380428487,-2.19325381715519,-1.63259379141456
"canever_2018",-1.9127261528234,-2.19301126027129,-1.63244104537552
"cascio_2014",-1.89862515273006,-2.18016438581382,-1.6170859196463
"chaki_2015",-1.90535966282419,-2.18694851318911,-1.62377081245927
"chen_2022",-1.90405930615373,-2.18584574313094,-1.62227286917652
"cieslik_2018",-1.90060088122727,-2.18212555007393,-1.61907621238061
"cieslik_2018b",-1.90338766834903,-2.18521488431478,-1.62156045238328
"cieslik_2018c",-1.9052373137213,-2.18679384426539,-1.6236807831772
"cieslik_2019",-1.90226703224541,-2.184057381956,-1.62047668253483
"clifton_2013",-1.91719933701974,-2.19800989097227,-1.63638878306722
"comim_2015",-1.91458747393461,-2.19435662462118,-1.63481832324803
"corbett_1993",-1.91848401714304,-2.19621582956315,-1.64075220472293
"corbett_1995",-1.88739109814497,-2.16772315119282,-1.60705904509711
"daya_2014",-1.90270612511909,-2.18425673263979,-1.6211555175984
"daya_2018",-1.89785350826718,-2.17921742160789,-1.61648959492646
"dedic_2019",-1.90081380098607,-2.18212641149303,-1.6195011904791
"depoortere_2007",-1.87996988441984,-2.15792688408069,-1.60201288475899
"dravolina_1999",-1.91140113190441,-2.19217627412965,-1.63062598967917
"duan_2013",-1.90168419905681,-2.1831736819368,-1.62019471617682
"dunn_1989",-1.91693975826494,-2.19556544566683,-1.63831407086304
"dyck_2011",-1.89696624574701,-2.1780420883631,-1.61589040313091
"egerton_2008",-1.91212638494962,-2.19297643612865,-1.63127633377059
"enomoto_2019",-1.89563342623549,-2.17679866147251,-1.61446819099846
"fernandes_1999",-1.91041611411385,-2.19131633019196,-1.62951589803575
"franscescon_2021",-1.89985992489785,-2.18122640826522,-1.61849344153047
"gacsalyi_2013",-1.90736482827658,-2.18854851325745,-1.62618114329571
"gao_2016",-1.91048888781196,-2.19164993218431,-1.62932784343961
"george_2020",-1.86896695195178,-2.14341324465937,-1.5945206592442
"georgiadou_2013",-1.89656159724127,-2.17771451353048,-1.61540868095205
"ghoshal_2016",-1.90635611453818,-2.18782710109835,-1.62488512797802
"gomes_2015",-1.90028142570776,-2.18170427704857,-1.61885857436695
"gururajan_2010",-1.91138383115744,-2.19284179887453,-1.62992586344036
"gururajan_2011",-1.91116732037968,-2.19243295880297,-1.62990168195639
"haller_2005",-1.90878101962734,-2.18989213943858,-1.6276698998161
"harich_2007",-1.9180988369324,-2.19711825819175,-1.63907941567305
"hereta_2019",-1.88130379618443,-2.1598584038381,-1.60274918853077
"hernandez-frausto_2019",-1.90757113748807,-2.18870329404596,-1.62643898093019
"heylmann_2017",-1.9091920341947,-2.19014874860717,-1.62823531978222
"hida_2014",-1.90947305916981,-2.19051516358211,-1.62843095475752
"hidayat_2021",-1.89278287905612,-2.1720430965412,-1.61352266157104
"holuj_2015",-1.89388779073718,-2.1750000703213,-1.61277551115305
"huang_2012",-1.90889103272422,-2.18998863722173,-1.62779342822671
