"study","effect_id","nmda_antagonist","hedges_g","ci_lb","ci_ub"
"Ben-Azu 2018",10,"Ketamine",-9.875,-13.68,-6.07
"Guo 2020",33,"MK-801",-1.049,-1.812,-0.286
"Guo 2020",34,"MK-801",-2.448,-3.394,-1.501
"Mckibben 2014",75,"Phencyclidine",0.941,0.017,1.865
"Mckibben 2014",76,"Phencyclidine",0.293,-0.588,1.174
"Mckibben 2014",65,"Phencyclidine",-1.051,-2.042,-0.06
"Mckibben 2014",66,"Phencyclidine",-1.153,-2.1,-0.206
"Moy 2012",80,"MK-801",-0.053,-0.801,0.695
"Moy 2012",81,"MK-801",-0.66,-1.423,0.102
"Moy 2012",82,"MK-801",-1.85,-2.705,-0.994
"Nikiforuk 2016",89,"Ketamine",0.108,-1.133,1.348
"Nikiforuk 2016",91,"Ketamine",0.378,-0.763,1.52
"Nikiforuk 2016",90,"Ketamine",-1.325,-2.693,0.044
"Nikiforuk 2016",92,"Ketamine",-0.899,-2.087,0.288
"Nikiforuk 2016",95,"Ketamine",-0.981,-2.179,0.217
"Nikiforuk 2016",97,"Ketamine",-1.371,-2.629,-0.114
"Perez 2019",101,"Ketamine",-0.939,-1.972,0.093
"Phensy 2020",102,"Ketamine",-1.84,-2.976,-0.704
"Rawat 2022",115,"Ketamine",1.259,0.563,1.955
"Rawat 2022",116,"Ketamine",1.261,0.181,2.341
"Sison 2011",189,"MK-801",-0.716,-1.727,0.295
"Sison 2011",190,"MK-801",-0.575,-1.575,0.425
"Sison 2011",191,"MK-801",-0.636,-1.641,0.368
"Sison 2011",186,"MK-801",-0.201,-1.183,0.782
"Sison 2011",187,"MK-801",-1.076,-2.125,-0.027
"Sison 2011",188,"MK-801",-1.709,-2.853,-0.564
"Sison 2011",192,"MK-801",-0.115,-1.096,0.865
"Sison 2011",193,"MK-801",0.332,-0.654,1.319
"Sison 2011",194,"MK-801",0.024,-0.956,1.004
"Zhao 2022",212,"MK-801",-0.857,-1.54,-0.174
"Ben-Azu 2018 b",216,"Ketamine",-6.23,-8.764,-3.695
"Ben-Azu 2018 b",217,"Ketamine",-8.324,-11.58,-5.068
"Deiana 2015",230,"MK-801",-0.167,-0.838,0.504
"Deiana 2015",231,"MK-801",-0.038,-0.623,0.546
"Deiana 2015",232,"MK-801",-0.405,-0.99,0.179
"Deiana 2015",235,"MK-801",-0.163,-0.58,0.253
"Deiana 2015",236,"MK-801",-0.125,-0.621,0.371
"Deiana 2015",237,"MK-801",-0.198,-0.969,0.573
"Deiana 2015",238,"MK-801",-0.037,-0.751,0.676
"Deiana 2015",239,"MK-801",0.323,-0.5,1.147
"Deiana 2015",233,"MK-801",-0.217,-0.967,0.532
"Deiana 2015",234,"MK-801",-0.458,-1.214,0.298
"Fujihara 2021",242,"MK-801",0.192,-0.686,1.071
"Garcia-Carachure 2020",244,"Ketamine",-0.316,-1.198,0.566
"Herzog 2020",264,"Ketamine",0.177,-0.625,0.979
"Herzog 2020",265,"Ketamine",-0.004,-1.051,1.044
"Martinez-Pinteno 2020",312,"Ketamine",-0.585,-1.391,0.221
"Perdikaris 2022",321,"MK-801",-2.083,-2.972,-1.194
"Riehl 2011",338,"Ketamine",-0.423,-1.232,0.386
"Riehl 2011",339,"Ketamine",-0.644,-1.465,0.176
"Salmani 2022",344,"MK-801",-4.424,-6.524,-2.323
"Seibt 2011",349,"MK-801",-5.394,-7.194,-3.595
"Seillier 2015",351,"Phencyclidine",-0.101,-0.901,0.7
"Seillier 2015",354,"Phencyclidine",-0.045,-1.025,0.935
"Shin 2010",356,"Phencyclidine",-1.539,-2.45,-0.628
"Tadmor 2018",364,"Phencyclidine",-1.389,-2.365,-0.412
"Tran 2018",365,"Phencyclidine",-2.859,-4.468,-1.25
"Amorim 2018",377,"Ketamine",-0.658,-1.93,0.615
"Ben-Azu 2018 c",378,"Ketamine",-9,-12.268,-5.731
"Ben-Azu 2018 c",379,"Ketamine",-8.491,-11.592,-5.39
"Brigman 2009",380,"Phencyclidine",-1.354,-2.516,-0.193
"Araujo 2021",400,"Ketamine",-1.867,-3.042,-0.693
"Araujo 2021",401,"Ketamine",-2.988,-4.414,-1.563
"Donahue 2014",403,"Ketamine",-0.142,-1.275,0.991
"Donahue 2014",404,"Ketamine",0.159,-0.974,1.292
"Donahue 2014",405,"Ketamine",-0.18,-1.314,0.954
"Dutra-Tavares 2021",410,"Phencyclidine",-0.318,-0.888,0.252
"Ju 2020",415,"MK-801",-0.899,-2.087,0.288
"Ju 2020",418,"MK-801",-2.088,-3.628,-0.547
"Ogundele 2018",440,"Ketamine",-1.016,-1.948,-0.085
"Phensy 2017",447,"Ketamine",-2.055,-3.138,-0.972
"Ramsey 2011",457,"MK-801",-1.546,-2.662,-0.429
"Thiagarajan 2023",479,"MK-801",-3.772,-5.106,-2.438
"Thiagarajan 2023",480,"MK-801",-5.215,-6.893,-3.536
"Tsivion-Visbord 2020",483,"Phencyclidine",-0.654,-1.307,0
"Xiao 2019",505,"MK-801",-1.362,-2.618,-0.106
"Xing 2020",507,"MK-801",-0.181,-1.37,1.008
"Zhu 2021",512,"Ketamine",-2.443,-3.7,-1.185
"Zhu 2021",514,"Ketamine",-2.183,-3.32,-1.046
"Zhu 2021",516,"Ketamine",-1.998,-3.1,-0.896
