"left_out_study","estimate","ci_lb","ci_ub"
"amorim_2018",-1.28151963998237,-1.59981668754362,-0.963222592421115
"araujo_2016",-1.25711767714085,-1.57305803125216,-0.941177323029538
"araujo_2021",-1.25925497791805,-1.57619813871159,-0.942311817124508
"barrera-conde_2023",-1.28272102784985,-1.60137934691053,-0.964062708789158
"ben-azu_2018",-1.22345446847666,-1.52482099806235,-0.922087938890959
"ben-azu_2018b",-1.20129353993842,-1.49256355511584,-0.910023524760999
"ben-azu_2018c",-1.18586037363136,-1.46816848937181,-0.903552257890897
"benvenutti_2021",-1.28091876584216,-1.59998469677274,-0.961852834911575
"brigman_2009",-1.27351741219736,-1.5921930198002,-0.954841804594525
"chen_2021",-1.27817980273082,-1.59699185932837,-0.959367746133279
"choi_2022",-1.29382038979413,-1.60914212547135,-0.978498654116904
"deiana_2015",-1.29323270873627,-1.61221710401606,-0.974248313456483
"deiana_2022",-1.26061361616742,-1.57716361188768,-0.944063620447156
"dieu-lugon_2021",-1.28825508992016,-1.60664054025761,-0.969869639582696
"donahue_2014",-1.28979160616081,-1.60725293944436,-0.972330272877251
"dutra-tavares_2021",-1.28719831095467,-1.60537602762118,-0.96902059428815
"fujihara_2021",-1.2917405162676,-1.60805373784967,-0.975427294685537
"garcia-carachure_2020",-1.28641464370141,-1.60442915778717,-0.968400129615652
"gil-ad_2014",-1.26853922111052,-1.586419222347,-0.950659219874034
"giongo_2023",-1.28878350979944,-1.60569258717594,-0.971874432422945
"guo_2020",-1.26916124397095,-1.58772653226233,-0.950595955679573
"gururajan_2012",-1.27885952683881,-1.5982014294635,-0.959517624214123
"hanks_2013",-1.29293495385249,-1.61076447469709,-0.975105433007883
"harda_2022",-1.29589239476247,-1.60980299110502,-0.981981798419912
"hasegawa_2019",-1.28963619960867,-1.60698613939567,-0.97228625982168
"herzog_2020",-1.29209421502994,-1.60887144363458,-0.975316986425311
"ishola_2021",-1.24414350296064,-1.55627180358775,-0.932015202333535
"jeevakumar_2015",-1.27465859654846,-1.59372418312066,-0.955593009976272
"jeon_2017",-1.29575772636556,-1.60975763966241,-0.981757813068715
"jeong_2022",-1.2804155894859,-1.59924010408532,-0.961591074886486
"ju_2020",-1.27361671549564,-1.59255689451162,-0.954676536479662
"kim_2013",-1.29131181201172,-1.60765425810764,-0.974969365915805
"koo_2019",-1.27842581065801,-1.59735140498474,-0.959500216331272
"kordas_2020",-1.2877642543713,-1.60602534447481,-0.969503164267798
"liao_2018",-1.29317430879942,-1.60882791534936,-0.97752070224949
"luessen_2022",-1.28307943482826,-1.60194886848799,-0.964210001168526
"ma_2023",-1.28421736555987,-1.60252499055024,-0.965909740569505
"mabunga_2019",-1.28535044984806,-1.60393282615115,-0.966768073544964
"martinez-pinteno_2020",-1.28351721361419,-1.6021739648662,-0.964860462362169
"mckibben_2014",-1.28770026515064,-1.60502358465479,-0.970376945646489
"mohammadi_2019",-1.27078008025846,-1.58932934621105,-0.95223081430587
"monte_2013",-1.26254737262671,-1.58016863956841,-0.944926105685016
"moy_2012",-1.28307003965153,-1.60197568676601,-0.964164392537047
"nikiforuk_2016",-1.28289127187246,-1.60201954833319,-0.963762995411719
"ogundele_2018",-1.27799000462751,-1.59698819443665,-0.958991814818369
"oshodi_2021",-1.24263128221943,-1.55432008591682,-0.930942478522045
"perdikaris_2022",-1.26308560799254,-1.58083946135963,-0.945331754625444
"perez_2019",-1.27879563159969,-1.59763457982606,-0.959956683373311
"phensy_2017",-1.26397196867527,-1.58166541601602,-0.946278521334513
"phensy_2020",-1.26710402572462,-1.58522315063817,-0.948984900811064
"ramsey_2011",-1.27105111871041,-1.58962755634658,-0.952474681074241
"rawat_2022",-1.30235590560339,-1.61152763796649,-0.993184173240282
"riehl_2011",-1.28439534527873,-1.60302354651906,-0.965767144038406
"salmani_2022",-1.24019764892728,-1.54988420494674,-0.930511092907822
"sanavi_2022",-1.27273901446954,-1.59153742173458,-0.953940607204497
"seibt_2011",-1.2209800494643,-1.52263979639817,-0.91932030253044
"seillier_2015",-1.29020777985956,-1.60776416984338,-0.972651389875744
"seillier_2017",-1.28400332867267,-1.60277321554844,-0.965233441796902
"shi_2022",-1.28658065525524,-1.60441997542114,-0.968741335089347
"shin_2010",-1.27106086401646,-1.58988550881361,-0.952236219219309
"sison_2011",-1.28583603561964,-1.60432152725992,-0.967350543979358
"sobota_2015",-1.27608459439916,-1.59502796850489,-0.957141220293417
"tadmor_2018",-1.27312212327651,-1.59201064933467,-0.954233597218355
"thiagarajan_2023",-1.22362139818514,-1.52735483269615,-0.919887963674135
"tran_2016",-1.25430170359336,-1.57005292169281,-0.938550485493905
"tran_2016b",-1.27516734297511,-1.59379972793937,-0.95653495801085
"tran_2017",-1.26236985405253,-1.57974271769291,-0.944996990412155
"tran_2018",-1.25513762163671,-1.57022878569684,-0.940046457576576
"tran_2018b",-1.26027156881587,-1.57700798900927,-0.943535148622469
"tsivion-visbord_2020",-1.28299446876878,-1.60189227855296,-0.964096658984594
"vasconcelos_2015",-1.25691574444331,-1.57230040302148,-0.941531085865132
"xiao_2019",-1.27339498079303,-1.5919409616366,-0.954848999949464
"xing_2020",-1.28679413895174,-1.60428783366356,-0.969300444239911
"xu_2019",-1.27858595395305,-1.59776064380626,-0.959411264099845
"xue_2017",-1.28617758187492,-1.60410842031114,-0.9682467434387
"zhang_2020",-1.26257384668842,-1.5799144197829,-0.945233273593926
"zhao_2018",-1.23506957675375,-1.54341036137062,-0.926728792136886
"zhao_2022",-1.28037677484289,-1.59952343024131,-0.961230119444471
"zhu_2021",-1.26111011985775,-1.57885122215173,-0.943369017563767
"zimmermann_2016",-1.27974936522374,-1.59966908615032,-0.959829644297156
